DICO,NUTSI_DSG,NUTSI_COD,NUTSII_DSG,NUTSII_COD,NUTSIII_DSG,NUTSIII_COD,DISTRITO_ILHA_DSG,CONCELHO_DSG,nutsi_norm,nutsii_norm,nutsiii_norm,municipality_norm,region_norm,district_norm,MunicipalityCode,location_context,block_key,avg_rent_m2,avg_str_density,population_density,avg_price,count_listings,price_per_listing
213,CONTINENTE,1,ALENTEJO,18,BAIXO ALENTEJO,184,BEJA,SERPA,continente,alentejo,baixo alentejo,serpa,baixo alentejo,beja,0213,serpa beja,serp,5.139166666666667,9.75,12.4,258712.7659574468,47.0,5504.526935264826
214,CONTINENTE,1,ALENTEJO,18,BAIXO ALENTEJO,184,BEJA,VIDIGUEIRA,continente,alentejo,baixo alentejo,vidigueira,baixo alentejo,beja,0214,vidigueira beja,vidi,5.139166666666667,21.6,16.5,179247.0588235294,51.0,3514.648212226067
301,CONTINENTE,1,NORTE,11,CÁVADO,112,BRAGA,AMARES,continente,norte,cavado,amares,cavado,braga,0301,amares braga,amar,4.13,134.68235294117648,238.9,221930.46153846153,494.0,449.25194643413266
302,CONTINENTE,1,NORTE,11,CÁVADO,112,BRAGA,BARCELOS,continente,norte,cavado,barcelos,cavado,braga,0302,barcelos braga,barc,4.76,159.05161290322582,308.8,224343.10344827586,609.0,368.3794802106336
303,CONTINENTE,1,NORTE,11,CÁVADO,112,BRAGA,BRAGA,continente,norte,cavado,braga,cavado,braga,0303,braga braga,brag,10.190000000000001,616.478947368421,1099.1,277926.9706632653,2352.0,118.16622902349717
304,CONTINENTE,1,NORTE,11,AVE,119,BRAGA,CABECEIRAS DE BASTO,continente,norte,ave,cabeceiras de basto,ave,braga,0304,cabeceiras de basto braga,cabe,3.1,49.0923076923077,64.3,207657.03056768558,229.0,906.7992601208978
305,CONTINENTE,1,NORTE,11,TÂMEGA E SOUSA,11C,BRAGA,CELORICO DE BASTO,continente,norte,tamega e sousa,celorico de basto,tamega e sousa,braga,0305,celorico de basto braga,celo,3.38,58.71875,97.5,176541.8393939394,330.0,534.9752708907254
306,CONTINENTE,1,NORTE,11,CÁVADO,112,BRAGA,ESPOSENDE,continente,norte,cavado,esposende,cavado,braga,0306,esposende braga,espo,6.75,195.2,389.2,301482.5714285714,175.0,1722.757551020408
307,CONTINENTE,1,NORTE,11,AVE,119,BRAGA,FAFE,continente,norte,ave,fafe,ave,braga,0307,fafe braga,fafe,3.62,159.6846153846154,221.4,212379.6183074266,579.0,366.80417669676444
308,CONTINENTE,1,NORTE,11,AVE,119,BRAGA,GUIMARÃES,continente,norte,ave,guimaraes,ave,braga,0308,guimaraes braga,guim,4.95,391.6408163265306,650.6,225723.6625441696,1698.0,132.93501916617763
309,CONTINENTE,1,NORTE,11,AVE,119,BRAGA,PÓVOA DE LANHOSO,continente,norte,ave,povoa de lanhoso,ave,braga,0309,povoa de lanhoso braga,povo,3.81,102.57391304347826,167.9,186702.408,500.0,373.404816
310,CONTINENTE,1,NORTE,11,CÁVADO,112,BRAGA,TERRAS DE BOURO,continente,norte,cavado,terras de bouro,cavado,braga,0310,terras de bouro braga,terr,5.356923076923077,38.26,23.0,206661.92893401015,197.0,1049.0453245381227
311,CONTINENTE,1,NORTE,11,AVE,119,BRAGA,VIEIRA DO MINHO,continente,norte,ave,vieira do minho,ave,braga,0311,vieira do minho braga,viei,3.91,47.04117647058824,55.7,168557.27272727274,330.0,510.7796143250689
312,CONTINENTE,1,NORTE,11,AVE,119,BRAGA,VILA NOVA DE FAMALICÃO,continente,norte,ave,vila nova de famalicao,ave,braga,0312,vila nova de famalicao braga,vila,7.935,325.6142857142857,674.6,229174.57534246575,1022.0,224.24126745838134
313,CONTINENTE,1,NORTE,11,CÁVADO,112,BRAGA,VILA VERDE,continente,norte,cavado,vila verde,cavado,braga,0313,vila verde braga,vila,5.92,131.91176470588235,210.6,235568.58830146233,889.0,264.9815391467518
314,CONTINENTE,1,NORTE,11,AVE,119,BRAGA,VIZELA,continente,norte,ave,vizela,ave,braga,0314,vizela braga,vize,7.1850000000000005,363.95,993.1,243160.5617977528,89.0,2732.1411437949755
401,CONTINENTE,1,NORTE,11,TERRAS DE TRÁS-OS-MONTES,11E,BRAGANÇA,ALFÂNDEGA DA FÉ,continente,norte,terras de tras-os-montes,alfandega da fe,terras de tras-os-montes,braganca,0401,alfandega da fe braganca,alfa,5.597142857142857,11.807692307692308,13.1,181687.5,16.0,11355.46875
