MunicipalityCode,RentValueMean,Municipality,Municipality_norm
1408,8.37,CONSTÂNCIA,constancia
1409,6.785,CORUCHE,coruche
1410,5.5,ENTRONCAMENTO,entroncamento
1411,4.45,FERREIRA DO ZÊZERE,ferreira do zezere
1412,7.93,GOLEGÃ,golega
1413,9.62,MAÇÃO,macao
1414,6.455,RIO MAIOR,rio maior
1415,6.785,SALVATERRA DE MAGOS,salvaterra de magos
1416,5.63,SANTARÉM,santarem
1417,,SARDOAL,sardoal
1418,5.5,TOMAR,tomar
1419,4.96,TORRES NOVAS,torres novas
1420,4.28,VILA NOVA DA BARQUINHA,vila nova da barquinha
1421,5.46,OURÉM,ourem
1501,6.05,ALCÁCER DO SAL,alcacer do sal
1502,8.52,ALCOCHETE,alcochete
1503,9.02,ALMADA,almada
1504,9.01,BARREIRO,barreiro
1505,7.234999999999999,GRÂNDOLA,grandola
1506,6.84,MOITA,moita
1507,8.44,MONTIJO,montijo
1508,7.22,PALMELA,palmela
1509,6.84,SANTIAGO DO CACÉM,santiago do cacem
1510,8.78,SEIXAL,seixal
1511,7.97,SESIMBRA,sesimbra
1512,9.67,SETÚBAL,setubal
1513,10.455,SINES,sines
1601,4.62,ARCOS DE VALDEVEZ,arcos de valdevez
1602,5.59,CAMINHA,caminha
1603,7.39,MELGAÇO,melgaco
1604,4.55,MONÇÃO,moncao
1605,3.24,PAREDES DE COURA,paredes de coura
1606,3.33,PONTE DA BARCA,ponte da barca
1607,4.93,PONTE DE LIMA,ponte de lima
1608,6.84,VALENÇA,valenca
1609,8.09,VIANA DO CASTELO,viana do castelo
1610,6.199999999999999,VILA NOVA DE CERVEIRA,vila nova de cerveira
1701,7.2,ALIJÓ,alijo
1702,7.21,BOTICAS,boticas
1703,5.824999999999999,CHAVES,chaves
1704,9.28,MESÃO FRIO,mesao frio
1705,,MONDIM DE BASTO,mondim de basto
1706,,MONTALEGRE,montalegre
1707,,MURÇA,murca
1708,4.12,PESO DA RÉGUA,peso da regua
1709,7.89,RIBEIRA DE PENA,ribeira de pena
1710,,SABROSA,sabrosa
1711,,SANTA MARTA DE PENAGUIÃO,santa marta de penaguiao
1712,5.82,VALPAÇOS,valpacos
1713,3.31,VILA POUCA DE AGUIAR,vila pouca de aguiar
1714,4.68,VILA REAL,vila real
1801,,ARMAMAR,armamar
1802,3.4,CARREGAL DO SAL,carregal do sal
1803,3.5,CASTRO DAIRE,castro daire
1804,3.41,CINFÃES,cinfaes
1805,3.4,LAMEGO,lamego
1806,3.72,MANGUALDE,mangualde
1807,3.08,MOIMENTA DA BEIRA,moimenta da beira
1808,3.11,MORTÁGUA,mortagua
1809,3.38,NELAS,nelas
1810,5.135,OLIVEIRA DE FRADES,oliveira de frades
1811,,PENALVA DO CASTELO,penalva do castelo
1812,,PENEDONO,penedono
1813,3.09,RESENDE,resende
1814,3.81,SANTA COMBA DÃO,santa comba dao
