MunicipalityCode,Municipality,Municipality_norm,Region,Region_norm
1315,VALONGO,valongo,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
1316,VILA DO CONDE,vila do conde,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
1317,VILA NOVA DE GAIA,vila nova de gaia,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
1318,TROFA,trofa,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
1401,ABRANTES,abrantes,MÉDIO TEJO,medio tejo
1402,ALCANENA,alcanena,MÉDIO TEJO,medio tejo
1403,ALMEIRIM,almeirim,LEZÍRIA DO TEJO,leziria do tejo
1404,ALPIARÇA,alpiarca,LEZÍRIA DO TEJO,leziria do tejo
1405,BENAVENTE,benavente,LEZÍRIA DO TEJO,leziria do tejo
1406,CARTAXO,cartaxo,LEZÍRIA DO TEJO,leziria do tejo
1407,CHAMUSCA,chamusca,LEZÍRIA DO TEJO,leziria do tejo
1408,CONSTÂNCIA,constancia,MÉDIO TEJO,medio tejo
1409,CORUCHE,coruche,LEZÍRIA DO TEJO,leziria do tejo
1410,ENTRONCAMENTO,entroncamento,MÉDIO TEJO,medio tejo
1411,FERREIRA DO ZÊZERE,ferreira do zezere,MÉDIO TEJO,medio tejo
1412,GOLEGÃ,golega,LEZÍRIA DO TEJO,leziria do tejo
1413,MAÇÃO,macao,MÉDIO TEJO,medio tejo
1414,RIO MAIOR,rio maior,LEZÍRIA DO TEJO,leziria do tejo
1415,SALVATERRA DE MAGOS,salvaterra de magos,LEZÍRIA DO TEJO,leziria do tejo
1416,SANTARÉM,santarem,LEZÍRIA DO TEJO,leziria do tejo
1417,SARDOAL,sardoal,MÉDIO TEJO,medio tejo
1418,TOMAR,tomar,MÉDIO TEJO,medio tejo
1419,TORRES NOVAS,torres novas,MÉDIO TEJO,medio tejo
1420,VILA NOVA DA BARQUINHA,vila nova da barquinha,MÉDIO TEJO,medio tejo
1421,OURÉM,ourem,MÉDIO TEJO,medio tejo
1501,ALCÁCER DO SAL,alcacer do sal,ALENTEJO LITORAL,alentejo litoral
1502,ALCOCHETE,alcochete,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1503,ALMADA,almada,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1504,BARREIRO,barreiro,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1505,GRÂNDOLA,grandola,ALENTEJO LITORAL,alentejo litoral
1506,MOITA,moita,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1507,MONTIJO,montijo,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1508,PALMELA,palmela,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1509,SANTIAGO DO CACÉM,santiago do cacem,ALENTEJO LITORAL,alentejo litoral
1510,SEIXAL,seixal,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1511,SESIMBRA,sesimbra,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1512,SETÚBAL,setubal,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1513,SINES,sines,ALENTEJO LITORAL,alentejo litoral
1601,ARCOS DE VALDEVEZ,arcos de valdevez,ALTO MINHO,alto minho
1602,CAMINHA,caminha,ALTO MINHO,alto minho
1603,MELGAÇO,melgaco,ALTO MINHO,alto minho
1604,MONÇÃO,moncao,ALTO MINHO,alto minho
1605,PAREDES DE COURA,paredes de coura,ALTO MINHO,alto minho
1606,PONTE DA BARCA,ponte da barca,ALTO MINHO,alto minho
1607,PONTE DE LIMA,ponte de lima,ALTO MINHO,alto minho
1608,VALENÇA,valenca,ALTO MINHO,alto minho
1609,VIANA DO CASTELO,viana do castelo,ALTO MINHO,alto minho
1610,VILA NOVA DE CERVEIRA,vila nova de cerveira,ALTO MINHO,alto minho
1701,ALIJÓ,alijo,DOURO,douro
1702,BOTICAS,boticas,ALTO TÂMEGA,alto tamega
1703,CHAVES,chaves,ALTO TÂMEGA,alto tamega
1704,MESÃO FRIO,mesao frio,DOURO,douro
1705,MONDIM DE BASTO,mondim de basto,AVE,ave
1706,MONTALEGRE,montalegre,ALTO TÂMEGA,alto tamega
1707,MURÇA,murca,DOURO,douro
1708,PESO DA RÉGUA,peso da regua,DOURO,douro
1709,RIBEIRA DE PENA,ribeira de pena,ALTO TÂMEGA,alto tamega
1710,SABROSA,sabrosa,DOURO,douro
1711,SANTA MARTA DE PENAGUIÃO,santa marta de penaguiao,DOURO,douro
1712,VALPAÇOS,valpacos,ALTO TÂMEGA,alto tamega
1713,VILA POUCA DE AGUIAR,vila pouca de aguiar,ALTO TÂMEGA,alto tamega
1714,VILA REAL,vila real,DOURO,douro
1801,ARMAMAR,armamar,DOURO,douro
1802,CARREGAL DO SAL,carregal do sal,VISEU DÃO LAFÕES,viseu dao lafoes
1803,CASTRO DAIRE,castro daire,VISEU DÃO LAFÕES,viseu dao lafoes
1804,CINFÃES,cinfaes,TÂMEGA E SOUSA,tamega e sousa
1805,LAMEGO,lamego,DOURO,douro
1806,MANGUALDE,mangualde,VISEU DÃO LAFÕES,viseu dao lafoes
1807,MOIMENTA DA BEIRA,moimenta da beira,DOURO,douro
1808,MORTÁGUA,mortagua,REGIÃO DE COIMBRA,regiao de coimbra
1809,NELAS,nelas,VISEU DÃO LAFÕES,viseu dao lafoes
1810,OLIVEIRA DE FRADES,oliveira de frades,VISEU DÃO LAFÕES,viseu dao lafoes
1811,PENALVA DO CASTELO,penalva do castelo,VISEU DÃO LAFÕES,viseu dao lafoes
1812,PENEDONO,penedono,DOURO,douro
1813,RESENDE,resende,TÂMEGA E SOUSA,tamega e sousa
1814,SANTA COMBA DÃO,santa comba dao,VISEU DÃO LAFÕES,viseu dao lafoes
1815,SÃO JOÃO DA PESQUEIRA,sao joao da pesqueira,DOURO,douro
1816,SÃO PEDRO DO SUL,sao pedro do sul,VISEU DÃO LAFÕES,viseu dao lafoes
1817,SÁTÃO,satao,VISEU DÃO LAFÕES,viseu dao lafoes
1818,SERNANCELHE,sernancelhe,DOURO,douro
1819,TABUAÇO,tabuaco,DOURO,douro
1820,TAROUCA,tarouca,DOURO,douro
