MunicipalityCode,Municipality,Municipality_norm,DensityPopMean
0410,VILA FLOR,vila flor,22.7
0411,VIMIOSO,vimioso,8.7
0412,VINHAIS,vinhais,10.7
0501,BELMONTE,belmonte,52.3
0502,CASTELO BRANCO,castelo branco,36.8
0503,COVILHÃ,covilha,83.5
0504,FUNDÃO,fundao,38.5
0505,IDANHA-A-NOVA,idanha-a-nova,6.0
0506,OLEIROS,oleiros,10.4
0507,PENAMACOR,penamacor,8.5
0508,PROENÇA-A-NOVA,proenca-a-nova,17.9
0509,SERTÃ,serta,33.4
0510,VILA DE REI,vila de rei,18.0
0511,VILA VELHA DE RÓDÃO,vila velha de rodao,10.7
0601,ARGANIL,arganil,34.0
0602,CANTANHEDE,cantanhede,89.3
0603,COIMBRA,coimbra,453.4
0604,CONDEIXA-A-NOVA,condeixa-a-nova,126.6
0605,FIGUEIRA DA FOZ,figueira da foz,160.1
0606,GÓIS,gois,14.4
0607,LOUSÃ,lousa,125.9
0608,MIRA,mira,101.0
0609,MIRANDA DO CORVO,miranda do corvo,95.9
0610,MONTEMOR-O-VELHO,montemor-o-velho,108.7
0611,OLIVEIRA DO HOSPITAL,oliveira do hospital,83.0
0612,PAMPILHOSA DA SERRA,pampilhosa da serra,10.4
0613,PENACOVA,penacova,59.6
0614,PENELA,penela,41.6
0615,SOURE,soure,65.0
0616,TÁBUA,tabua,58.1
0617,VILA NOVA DE POIARES,vila nova de poiares,84.5
0701,ALANDROAL,alandroal,9.2
0702,ARRAIOLOS,arraiolos,9.9
0703,BORBA,borba,44.1
0704,ESTREMOZ,estremoz,24.4
0705,ÉVORA,evora,41.3
0706,MONTEMOR-O-NOVO,montemor-o-novo,12.9
0707,MORA,mora,9.4
0708,MOURÃO,mourao,8.7
0709,PORTEL,portel,9.5
0710,REDONDO,redondo,17.0
0711,REGUENGOS DE MONSARAZ,reguengos de monsaraz,21.3
0712,VENDAS NOVAS,vendas novas,51.9
0713,VIANA DO ALENTEJO,viana do alentejo,14.1
0714,VILA VIÇOSA,vila vicosa,37.5
0801,ALBUFEIRA,albufeira,337.9
0802,ALCOUTIM,alcoutim,4.2
0803,ALJEZUR,aljezur,19.7
0804,CASTRO MARIM,castro marim,22.7
0805,FARO,faro,342.9
0806,LAGOA,lagoa,282.4
0807,LAGOS,lagos,162.2
0808,LOULÉ,loule,97.4
0809,MONCHIQUE,monchique,13.5
0810,OLHÃO,olhao,344.2
0811,PORTIMÃO,portimao,346.5
0812,SÃO BRÁS DE ALPORTEL,sao bras de alportel,75.7
0813,SILVES,silves,58.1
0814,TAVIRA,tavira,45.9
0815,VILA DO BISPO,vila do bispo,33.1
0816,VILA REAL DE SANTO ANTÓNIO,vila real de santo antonio,315.3
0901,AGUIAR DA BEIRA,aguiar da beira,25.6
0902,ALMEIDA,almeida,11.0
0903,CELORICO DA BEIRA,celorico da beira,26.7
0904,FIGUEIRA DE CASTELO RODRIGO,figueira de castelo rodrigo,9.9
0905,FORNOS DE ALGODRES,fornos de algodres,33.3
0906,GOUVEIA,gouveia,40.7
0907,GUARDA,guarda,56.2
0908,MANTEIGAS,manteigas,24.1
0909,MÊDA,meda,16.0
0910,PINHEL,pinhel,16.2
0911,SABUGAL,sabugal,13.7
0912,SEIA,seia,49.2
0913,TRANCOSO,trancoso,23.0
0914,VILA NOVA DE FOZ CÔA,vila nova de foz coa,16.0
1001,ALCOBAÇA,alcobaca,140.5
1002,ALVAIÁZERE,alvaiazere,39.6
1003,ANSIÃO,ansiao,67.4
1004,BATALHA,batalha,160.2
1005,BOMBARRAL,bombarral,153.2
1006,CALDAS DA RAINHA,caldas da rainha,211.8
1007,CASTANHEIRA DE PÊRA,castanheira de pera,40.6
1008,FIGUEIRÓ DOS VINHOS,figueiro dos vinhos,30.4
1009,LEIRIA,leiria,236.8
1010,MARINHA GRANDE,marinha grande,219.0
1011,NAZARÉ,nazare,190.4
1012,ÓBIDOS,obidos,93.9
1013,PEDRÓGÃO GRANDE,pedrogao grande,28.2
1014,PENICHE,peniche,355.3
1015,POMBAL,pombal,83.1
1016,PORTO DE MÓS,porto de mos,91.7
1101,ALENQUER,alenquer,158.8
1102,ARRUDA DOS VINHOS,arruda dos vinhos,196.5
1103,AZAMBUJA,azambuja,87.3
1104,CADAVAL,cadaval,82.5
1105,CASCAIS,cascais,2255.0
1106,LISBOA,lisboa,5668.5
1107,LOURES,loures,1238.1
1108,LOURINHÃ,lourinha,192.9
1109,MAFRA,mafra,309.0
1110,OEIRAS,oeiras,3829.1
1111,SINTRA,sintra,1239.0
1112,SOBRAL DE MONTE AGRAÇO,sobral de monte agraco,228.0
1113,TORRES VEDRAS,torres vedras,216.2
1114,VILA FRANCA DE XIRA,vila franca de xira,438.3
1115,AMADORA,amadora,7495.9
1116,ODIVELAS,odivelas,5791.6
1201,ALTER DO CHÃO,alter do chao,8.8
1202,ARRONCHES,arronches,8.8
1203,AVIS,avis,6.3
1204,CAMPO MAIOR,campo maior,32.0
1205,CASTELO DE VIDE,castelo de vide,12.1
1206,CRATO,crato,8.2
1207,ELVAS,elvas,32.3
1208,FRONTEIRA,fronteira,12.0
1209,GAVIÃO,gaviao,11.3
1210,MARVÃO,marvao,19.5
1211,MONFORTE,monforte,7.1
1212,NISA,nisa,9.9
1213,PONTE DE SOR,ponte de sor,18.1
1214,PORTALEGRE,portalegre,49.0
1215,SOUSEL,sousel,15.8
1301,AMARANTE,amarante,173.3
1302,BAIÃO,baiao,98.6
1303,FELGUEIRAS,felgueiras,478.9
1304,GONDOMAR,gondomar,1277.9
1305,LOUSADA,lousada,502.8
1306,MAIA,maia,1719.0
1307,MARCO DE CANAVESES,marco de canaveses,245.6
1308,MATOSINHOS,matosinhos,2876.6
1309,PAÇOS DE FERREIRA,pacos de ferreira,788.6
1310,PAREDES,paredes,548.7
1311,PENAFIEL,penafiel,331.3
1312,PORTO,porto,6006.0
1313,PÓVOA DE VARZIM,povoa de varzim,821.4
1314,SANTO TIRSO,santo tirso,496.7
1315,VALONGO,valongo,1333.4
1316,VILA DO CONDE,vila do conde,569.5
1317,VILA NOVA DE GAIA,vila nova de gaia,1847.5
1318,TROFA,trofa,555.5
1401,ABRANTES,abrantes,47.3
1402,ALCANENA,alcanena,100.1
1403,ALMEIRIM,almeirim,102.7
1404,ALPIARÇA,alpiarca,76.9
1405,BENAVENTE,benavente,62.0
1406,CARTAXO,cartaxo,154.0
1407,CHAMUSCA,chamusca,11.4
1408,CONSTÂNCIA,constancia,49.2
1409,CORUCHE,coruche,15.6
1410,ENTRONCAMENTO,entroncamento,1601.2
1411,FERREIRA DO ZÊZERE,ferreira do zezere,42.1
1412,GOLEGÃ,golega,64.5
1413,MAÇÃO,macao,16.0
1414,RIO MAIOR,rio maior,81.8
1415,SALVATERRA DE MAGOS,salvaterra de magos,95.7
1416,SANTARÉM,santarem,110.4
1417,SARDOAL,sardoal,39.3
1418,TOMAR,tomar,105.0
1419,TORRES NOVAS,torres novas,128.6
1420,VILA NOVA DA BARQUINHA,vila nova da barquinha,157.1
1421,OURÉM,ourem,111.6
