MunicipalityCode,Municipality,Municipality_norm,DensityAlojMean
1308,MATOSINHOS,matosinhos,1564.28
1309,PAÇOS DE FERREIRA,pacos de ferreira,325.9692307692308
1310,PAREDES,paredes,259.44736842105266
1311,PENAFIEL,penafiel,151.0758620689655
1312,PORTO,porto,3380.0
1313,PÓVOA DE VARZIM,povoa de varzim,414.225
1314,SANTO TIRSO,santo tirso,234.3066666666667
1315,VALONGO,valongo,801.98
1316,VILA DO CONDE,vila do conde,304.8863636363636
1317,VILA NOVA DE GAIA,vila nova de gaia,1050.15
1318,TROFA,trofa,204.23333333333335
1401,ABRANTES,abrantes,42.207142857142856
1402,ALCANENA,alcanena,68.975
1403,ALMEIRIM,almeirim,54.46
1404,ALPIARÇA,alpiarca,42.1
1405,BENAVENTE,benavente,33.58
1406,CARTAXO,cartaxo,88.41428571428571
1407,CHAMUSCA,chamusca,11.799999999999999
1408,CONSTÂNCIA,constancia,40.525000000000006
1409,CORUCHE,coruche,9.700000000000001
1410,ENTRONCAMENTO,entroncamento,826.9666666666667
1411,FERREIRA DO ZÊZERE,ferreira do zezere,39.8375
1412,GOLEGÃ,golega,40.85
1413,MAÇÃO,macao,17.071428571428573
1414,RIO MAIOR,rio maior,36.26363636363636
1415,SALVATERRA DE MAGOS,salvaterra de magos,51.839999999999996
1416,SANTARÉM,santarem,67.5
1417,SARDOAL,sardoal,32.5
1418,TOMAR,tomar,76.20833333333333
1419,TORRES NOVAS,torres novas,96.67272727272729
1420,VILA NOVA DA BARQUINHA,vila nova da barquinha,84.03999999999999
1421,OURÉM,ourem,73.93571428571428
1501,ALCÁCER DO SAL,alcacer do sal,5.76
1502,ALCOCHETE,alcochete,180.5
1503,ALMADA,almada,1937.7666666666667
1504,BARREIRO,barreiro,1335.5400000000002
1505,GRÂNDOLA,grandola,17.2
1506,MOITA,moita,841.9799999999999
1507,MONTIJO,montijo,183.0
1508,PALMELA,palmela,120.2
1509,SANTIAGO DO CACÉM,santiago do cacem,20.799999999999997
1510,SEIXAL,seixal,902.9799999999999
1511,SESIMBRA,sesimbra,1024.0
1512,SETÚBAL,setubal,357.76666666666665
1513,SINES,sines,38.833333333333336
1601,ARCOS DE VALDEVEZ,arcos de valdevez,75.9108108108108
1602,CAMINHA,caminha,127.56
1603,MELGAÇO,melgaco,55.449999999999996
1604,MONÇÃO,moncao,76.18
1605,PAREDES DE COURA,paredes de coura,51.73529411764706
1606,PONTE DA BARCA,ponte da barca,72.50555555555555
1607,PONTE DE LIMA,ponte de lima,94.175
1608,VALENÇA,valenca,80.93333333333334
1609,VIANA DO CASTELO,viana do castelo,170.96785714285716
1610,VILA NOVA DE CERVEIRA,vila nova de cerveira,69.96666666666667
1701,ALIJÓ,alijo,35.82666666666667
1702,BOTICAS,boticas,16.354545454545455
1703,CHAVES,chaves,74.33
1704,MESÃO FRIO,mesao frio,82.3
1705,MONDIM DE BASTO,mondim de basto,33.48571428571429
1706,MONTALEGRE,montalegre,14.761538461538462
1707,MURÇA,murca,27.4375
1708,PESO DA RÉGUA,peso da regua,120.73333333333332
1709,RIBEIRA DE PENA,ribeira de pena,20.816666666666666
1710,SABROSA,sabrosa,33.50769230769231
1711,SANTA MARTA DE PENAGUIÃO,santa marta de penaguiao,68.825
1712,VALPAÇOS,valpacos,23.088461538461537
1713,VILA POUCA DE AGUIAR,vila pouca de aguiar,28.253333333333334
1714,VILA REAL,vila real,158.47619047619048
1801,ARMAMAR,armamar,43.89333333333333
1802,CARREGAL DO SAL,carregal do sal,56.1
1803,CASTRO DAIRE,castro daire,33.2764705882353
1804,CINFÃES,cinfaes,63.57333333333334
1805,LAMEGO,lamego,91.3
1806,MANGUALDE,mangualde,49.37692307692308
1807,MOIMENTA DA BEIRA,moimenta da beira,43.71176470588235
1808,MORTÁGUA,mortagua,23.025
1809,NELAS,nelas,70.9125
1810,OLIVEIRA DE FRADES,oliveira de frades,40.87777777777777
1811,PENALVA DO CASTELO,penalva do castelo,47.550000000000004
1812,PENEDONO,penedono,21.0375
1813,RESENDE,resende,68.88333333333334
1814,SANTA COMBA DÃO,santa comba dao,62.05714285714286
1815,SÃO JOÃO DA PESQUEIRA,sao joao da pesqueira,23.308333333333334
1816,SÃO PEDRO DO SUL,sao pedro do sul,42.580000000000005
1817,SÁTÃO,satao,56.02
1818,SERNANCELHE,sernancelhe,20.564285714285713
1819,TABUAÇO,tabuaco,33.07142857142857
1820,TAROUCA,tarouca,61.25
1821,TONDELA,tondela,59.839999999999996
1822,VILA NOVA DE PAIVA,vila nova de paiva,26.816666666666663
1823,VISEU,viseu,170.93076923076922
1824,VOUZELA,vouzela,39.69
3101,CALHETA,calheta,108.98888888888888
3102,CÂMARA DE LOBOS,camara de lobos,341.68333333333334
3103,FUNCHAL,funchal,1171.5636363636365
3104,MACHICO,machico,160.21666666666667
3105,PONTA DO SOL,ponta do sol,122.975
3106,PORTO MONIZ,porto moniz,25.96
3107,RIBEIRA BRAVA,ribeira brava,113.25999999999999
3108,SANTA CRUZ,santa cruz,300.1
3109,SANTANA,santana,55.07142857142857
3110,SÃO VICENTE,sao vicente,55.05
3201,PORTO SANTO,porto santo,106.9
4101,VILA DO PORTO,vila do porto,36.733333333333334
4201,LAGOA,lagoa,133.88333333333333
4202,NORDESTE,nordeste,25.82
4203,PONTA DELGADA,ponta delgada,266.548
4204,POVOAÇÃO,povoacao,35.02857142857143
4205,RIBEIRA GRANDE,ribeira grande,69.44666666666667
4206,VILA FRANCA DO CAMPO,vila franca do campo,80.5
4301,ANGRA DO HEROÍSMO,angra do heroismo,172.74
4302,PRAIA DA VITÓRIA,praia da vitoria,80.51666666666667
4401,SANTA CRUZ DA GRACIOSA,santa cruz da graciosa,48.5
4501,CALHETA DE SÃO JORGE,calheta de sao jorge,22.816666666666666
4502,VELAS,velas,31.714285714285715
4601,LAJES DO PICO,lajes do pico,26.91428571428571
4602,MADALENA,madalena,23.728571428571428
4603,SÃO ROQUE DO PICO,sao roque do pico,16.55
4701,HORTA,horta,107.20714285714287
4801,LAJES DAS FLORES,lajes das flores,13.3875
4802,SANTA CRUZ DAS FLORES,santa cruz das flores,14.62
4901,CORVO,corvo,12.0
