MunicipalityCode,Municipality,Region
1507,MONTIJO,ÁREA METROPOLITANA DE LISBOA
1508,PALMELA,ÁREA METROPOLITANA DE LISBOA
1509,SANTIAGO DO CACÉM,ALENTEJO LITORAL
1510,SEIXAL,ÁREA METROPOLITANA DE LISBOA
1511,SESIMBRA,ÁREA METROPOLITANA DE LISBOA
1512,SETÚBAL,ÁREA METROPOLITANA DE LISBOA
1513,SINES,ALENTEJO LITORAL
1601,ARCOS DE VALDEVEZ,ALTO MINHO
1602,CAMINHA,ALTO MINHO
1603,MELGAÇO,ALTO MINHO
1604,MONÇÃO,ALTO MINHO
1605,PAREDES DE COURA,ALTO MINHO
1606,PONTE DA BARCA,ALTO MINHO
1607,PONTE DE LIMA,ALTO MINHO
1608,VALENÇA,ALTO MINHO
1609,VIANA DO CASTELO,ALTO MINHO
1610,VILA NOVA DE CERVEIRA,ALTO MINHO
1701,ALIJÓ,DOURO
1702,BOTICAS,ALTO TÂMEGA
1703,CHAVES,ALTO TÂMEGA
1704,MESÃO FRIO,DOURO
1705,MONDIM DE BASTO,AVE
1706,MONTALEGRE,ALTO TÂMEGA
1707,MURÇA,DOURO
1708,PESO DA RÉGUA,DOURO
1709,RIBEIRA DE PENA,ALTO TÂMEGA
1710,SABROSA,DOURO
1711,SANTA MARTA DE PENAGUIÃO,DOURO
1712,VALPAÇOS,ALTO TÂMEGA
1713,VILA POUCA DE AGUIAR,ALTO TÂMEGA
1714,VILA REAL,DOURO
1801,ARMAMAR,DOURO
1802,CARREGAL DO SAL,VISEU DÃO LAFÕES
1803,CASTRO DAIRE,VISEU DÃO LAFÕES
1804,CINFÃES,TÂMEGA E SOUSA
1805,LAMEGO,DOURO
1806,MANGUALDE,VISEU DÃO LAFÕES
1807,MOIMENTA DA BEIRA,DOURO
1808,MORTÁGUA,REGIÃO DE COIMBRA
1809,NELAS,VISEU DÃO LAFÕES
1810,OLIVEIRA DE FRADES,VISEU DÃO LAFÕES
1811,PENALVA DO CASTELO,VISEU DÃO LAFÕES
1812,PENEDONO,DOURO
1813,RESENDE,TÂMEGA E SOUSA
1814,SANTA COMBA DÃO,VISEU DÃO LAFÕES
1815,SÃO JOÃO DA PESQUEIRA,DOURO
1816,SÃO PEDRO DO SUL,VISEU DÃO LAFÕES
1817,SÁTÃO,VISEU DÃO LAFÕES
1818,SERNANCELHE,DOURO
1819,TABUAÇO,DOURO
1820,TAROUCA,DOURO
1821,TONDELA,VISEU DÃO LAFÕES
1822,VILA NOVA DE PAIVA,VISEU DÃO LAFÕES
1823,VISEU,VISEU DÃO LAFÕES
1824,VOUZELA,VISEU DÃO LAFÕES
3101,CALHETA,REGIÃO AUTÓNOMA DA MADEIRA
3102,CÂMARA DE LOBOS,REGIÃO AUTÓNOMA DA MADEIRA
3103,FUNCHAL,REGIÃO AUTÓNOMA DA MADEIRA
3104,MACHICO,REGIÃO AUTÓNOMA DA MADEIRA
3105,PONTA DO SOL,REGIÃO AUTÓNOMA DA MADEIRA
3106,PORTO MONIZ,REGIÃO AUTÓNOMA DA MADEIRA
3107,RIBEIRA BRAVA,REGIÃO AUTÓNOMA DA MADEIRA
3108,SANTA CRUZ,REGIÃO AUTÓNOMA DA MADEIRA
3109,SANTANA,REGIÃO AUTÓNOMA DA MADEIRA
3110,SÃO VICENTE,REGIÃO AUTÓNOMA DA MADEIRA
3201,PORTO SANTO,REGIÃO AUTÓNOMA DA MADEIRA
4101,VILA DO PORTO,REGIÃO AUTÓNOMA DOS AÇORES
4201,LAGOA,REGIÃO AUTÓNOMA DOS AÇORES
4202,NORDESTE,REGIÃO AUTÓNOMA DOS AÇORES
4203,PONTA DELGADA,REGIÃO AUTÓNOMA DOS AÇORES
4204,POVOAÇÃO,REGIÃO AUTÓNOMA DOS AÇORES
4205,RIBEIRA GRANDE,REGIÃO AUTÓNOMA DOS AÇORES
4206,VILA FRANCA DO CAMPO,REGIÃO AUTÓNOMA DOS AÇORES
4301,ANGRA DO HEROÍSMO,REGIÃO AUTÓNOMA DOS AÇORES
4302,PRAIA DA VITÓRIA,REGIÃO AUTÓNOMA DOS AÇORES
4401,SANTA CRUZ DA GRACIOSA,REGIÃO AUTÓNOMA DOS AÇORES
4501,CALHETA DE SÃO JORGE,REGIÃO AUTÓNOMA DOS AÇORES
4502,VELAS,REGIÃO AUTÓNOMA DOS AÇORES
4601,LAJES DO PICO,REGIÃO AUTÓNOMA DOS AÇORES
4602,MADALENA,REGIÃO AUTÓNOMA DOS AÇORES
4603,SÃO ROQUE DO PICO,REGIÃO AUTÓNOMA DOS AÇORES
4701,HORTA,REGIÃO AUTÓNOMA DOS AÇORES
4801,LAJES DAS FLORES,REGIÃO AUTÓNOMA DOS AÇORES
4802,SANTA CRUZ DAS FLORES,REGIÃO AUTÓNOMA DOS AÇORES
4901,CORVO,REGIÃO AUTÓNOMA DOS AÇORES
